expiry,T,days_to_expiry,cp,strike,price,spread,price_source,quote_age_days,volume,openInterest,spot,quoted_spot,forward,discount,r,q,fwd_method,n_parity_pairs,log_moneyness,std_moneyness,iv,contractSymbol,snapshot_utc,model_price,price_error,model_iv,iv_error
2026-08-31,0.03561643835616438,13,C,789.0,0.795,0.030000000000000027,mid,1.863089812858796,9.0,0.0,770.3342101802784,778.5800170898438,771.3830892177326,0.9975149026030734,0.06986072980910717,0.0316574864432284,parity (regression),56,0.022581197508395576,1.0286084549370063,0.09877346739328158,XSP260831C00789000,2026-08-18T08:43:39+00:00,2.078428032440627,1.2834280324406269,0.13592949590513476,0.03715602851185318
2026-08-31,0.03561643835616438,13,C,790.0,0.685,0.029999999999999916,mid,1.6397564795254629,18.0,0.0,770.3342101802784,778.5800170898438,771.3830892177326,0.9975149026030734,0.06986072980910717,0.0316574864432284,parity (regression),56,0.02384782212358843,1.0863051642428039,0.09856353251233047,XSP260831C00790000,2026-08-18T08:43:39+00:00,1.9012839482881532,1.2162839482881531,0.13597687543121809,0.03741334291888762
2026-08-31,0.03561643835616438,13,C,791.0,0.575,0.029999999999999916,mid,1.6439115721180555,14.0,0.0,770.3342101802784,778.5800170898438,771.3830892177326,0.9975149026030734,0.06986072980910717,0.0316574864432284,parity (regression),56,0.025112844430175255,1.143928885914577,0.09780922832698612,XSP260831C00791000,2026-08-18T08:43:39+00:00,1.736648663496382,1.161648663496382,0.13602637758592548,0.03821714925893936
2026-08-31,0.03561643835616438,13,C,792.0,0.495,0.030000000000000027,mid,1.861677775821759,10.0,0.0,770.3342101802784,778.5800170898438,771.3830892177326,0.9975149026030734,0.06986072980910717,0.0316574864432284,parity (regression),56,0.026376268476947153,1.2014798043810193,0.09780972744642372,XSP260831C00792000,2026-08-18T08:43:39+00:00,1.583908418012868,1.0889084180128679,0.1360779764656003,0.03826824901917658
2026-08-31,0.03561643835616438,13,C,793.0,0.41500000000000004,0.02999999999999997,mid,1.867129164710648,10.0,0.0,770.3342101802784,778.5800170898438,771.3830892177326,0.9975149026030734,0.06986072980910717,0.0316574864432284,parity (regression),56,0.027638098297369202,1.2589581033727004,0.09730169473847274,XSP260831C00793000,2026-08-18T08:43:39+00:00,1.442453032042394,1.027453032042394,0.1361316457174258,0.03882995097895307
2026-08-31,0.03561643835616438,13,C,794.0,0.355,0.02999999999999997,mid,1.7363189795254628,22.0,0.0,770.3342101802784,778.5800170898438,771.3830892177326,0.9975149026030734,0.06986072980910717,0.0316574864432284,parity (regression),56,0.02889833790965707,1.3163639659255557,0.0973383777712428,XSP260831C00794000,2026-08-18T08:43:39+00:00,1.3116787254445654,0.9566787254445654,0.13618735857407152,0.038848980802828725
2026-08-31,0.03561643835616438,13,C,795.0,0.3,0.020000000000000018,mid,1.3934370350810186,1.0,0.0,770.3342101802784,778.5800170898438,771.3830892177326,0.9975149026030734,0.06986072980910717,0.0316574864432284,parity (regression),56,0.030156991316853166,1.3736975743843554,0.09719988180149844,XSP260831C00795000,2026-08-18T08:43:39+00:00,1.1909907133188256,0.8909907133188255,0.13624508788810352,0.03904520608660508
2026-08-31,0.03561643835616438,13,C,796.0,0.255,0.030000000000000027,mid,1.766353701747685,4.0,0.0,770.3342101802784,778.5800170898438,771.3830892177326,0.9975149026030734,0.06986072980910717,0.0316574864432284,parity (regression),56,0.031414062506904414,1.4309591104062467,0.09724982512706179,XSP260831C00796000,2026-08-18T08:43:39+00:00,1.0798055664704123,0.8248055664704123,0.13630480616632848,0.03905498103926669
2026-08-31,0.03561643835616438,13,C,797.0,0.22,0.020000000000000018,mid,1.8650689795254627,3.0,0.0,770.3342101802784,778.5800170898438,771.3830892177326,0.9975149026030734,0.06986072980910717,0.0316574864432284,parity (regression),56,0.03266955545273635,1.48814875496413,0.097625010023852,XSP260831C00797000,2026-08-18T08:43:39+00:00,0.9775533292665557,0.7575533292665557,0.13636648560323578,0.038741475579383775
2026-08-31,0.03561643835616438,13,C,798.0,0.19,0.020000000000000018,mid,1.7887842573032406,5.0,0.0,770.3342101802784,778.5800170898438,771.3830892177326,0.9975149026030734,0.06986072980910717,0.0316574864432284,parity (regression),56,0.03392347411233,1.5452666883501591,0.09804642977677512,XSP260831C00798000,2026-08-18T08:43:39+00:00,0.8836793910298866,0.6936793910298866,0.13643009811437323,0.03838366833759811
